driver_age_band,driver_experience,time_of_day,vehicle_service_year,vehicle_type,weather,road_surface,light_condition,driver_vehicle_relation,vehicle_owner,vehicle_defect,Accident_severity
Over 51,2-5yr,Afternoon,Above 10yr,Automobile,Normal,Unknown,Daylight,Owner,Owner,No defect,Slight Injury
31-50,1-2yr,Afternoon,1-2yr,Automobile,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
Unknown,Below 1yr,Evening,1-2yr,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Unknown,Owner,No defect,Slight Injury
Over 51,1-2yr,Evening,1-2yr,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Morning,2-5yrs,Automobile,Windy,Earth roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Morning,1-2yr,Lorry,Windy,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Morning,1-2yr,Automobile,Raining,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Morning,Unknown,Lorry,Raining,Asphalt roads,Darkness - lights lit,Employee,Owner,7,Slight Injury
31-50,Above 10yr,Morning,1-2yr,Pickup,Raining,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Over 51,5-10yr,Afternoon,1-2yr,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
18-30,1-2yr,Evening,Below 1yr,Motorcycle,Raining,Asphalt roads,Darkness - lights lit,Employee,Governmental,No defect,Serious Injury
18-30,2-5yr,Evening,Unknown,Lorry,Raining,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Serious Injury
18-30,Above 10yr,Night,Unknown,Automobile,Windy,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
Over 51,2-5yr,Morning,Unknown,Automobile,Normal,Gravel roads,Daylight,Employee,Owner,No defect,Slight Injury
Unknown,5-10yr,Morning,2-5yrs,Other,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Unknown,Unknown,Morning,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Unknown,Unknown,Morning,Unknown,Taxi,Normal,Asphalt roads,Daylight,Unknown,Owner,No defect,Slight Injury
Unknown,5-10yr,Morning,2-5yrs,Other,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Under 18,2-5yr,Morning,Unknown,Taxi,Raining,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Morning,Unknown,Lorry,Raining,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Evening,2-5yrs,Other,Raining,Asphalt roads,Darkness - no lighting,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Above 10yr,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
31-50,Unknown,Afternoon,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
Unknown,5-10yr,Afternoon,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Morning,Unknown,Other,Raining,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Morning,5-10yrs,Pickup,Raining,Asphalt roads,Daylight,Owner,Owner,Unknown,Slight Injury
18-30,1-2yr,Morning,Below 1yr,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Serious Injury
Over 51,Above 10yr,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Serious Injury
Unknown,1-2yr,Afternoon,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Afternoon,Unknown,Public_transport,Raining,Unknown,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,Unknown,Morning,Unknown,Lorry,Normal,Asphalt roads,Daylight,Unknown,Owner,Unknown,Slight Injury
31-50,1-2yr,Morning,Below 1yr,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Afternoon,Unknown,Pickup,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,1-2yr,Evening,Unknown,Pickup,Raining,Asphalt roads,Darkness - lights lit,Employee,Governmental,Unknown,Slight Injury
18-30,5-10yr,Night,Unknown,Lorry,Raining and Windy,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Night,Unknown,Lorry,Raining and Windy,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
31-50,1-2yr,Afternoon,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Employee,Governmental,No defect,Slight Injury
18-30,5-10yr,Afternoon,2-5yrs,Unknown,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
18-30,Below 1yr,Afternoon,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Employee,Governmental,Unknown,Slight Injury
18-30,5-10yr,Afternoon,Unknown,Automobile,Normal,Other,Darkness - lights lit,Employee,Governmental,Unknown,Slight Injury
31-50,5-10yr,Evening,Unknown,Pickup,Raining,Asphalt roads,Darkness - lights lit,Owner,Owner,Unknown,Slight Injury
31-50,5-10yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Owner,Owner,Unknown,Serious Injury
Over 51,5-10yr,Morning,5-10yrs,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Serious Injury
Under 18,2-5yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Morning,Unknown,Other,Normal,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
18-30,Above 10yr,Afternoon,5-10yrs,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
