driver_age_band,driver_experience,time_of_day,vehicle_type,weather,road_surface,light_condition,Accident_severity
18-30,1-2yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Afternoon,Lorry,Raining,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,5-10yr,Morning,Public_transport,Windy,Gravel roads,Daylight,Slight Injury
18-30,Above 10yr,Morning,Lorry,Windy,Asphalt roads,Daylight,Slight Injury
18-30,2-5yr,Morning,Other,Normal,Asphalt roads,Daylight,Slight Injury
18-30,5-10yr,Evening,Lorry,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,Unknown,Afternoon,Unknown,Normal,Other,Daylight,Slight Injury
31-50,Unknown,Morning,Other,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,1-2yr,Morning,Other,Normal,Asphalt roads,Darkness - lights lit,Serious Injury
18-30,5-10yr,Morning,Automobile,Normal,Asphalt roads,Darkness - lights lit,Serious Injury
31-50,2-5yr,Afternoon,Lorry,Normal,Asphalt roads,Daylight,Slight Injury
31-50,5-10yr,Evening,Pickup,Normal,Asphalt roads,Darkness - no lighting,Slight Injury
18-30,2-5yr,Evening,Automobile,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,Above 10yr,Evening,Unknown,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
18-30,Below 1yr,Evening,Other,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,Below 1yr,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,Unknown,Afternoon,Automobile,Normal,Asphalt roads,Daylight,Slight Injury
31-50,2-5yr,Afternoon,Other,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,Unknown,Afternoon,Unknown,Normal,Asphalt roads,Daylight,Slight Injury
Unknown,No Licence,Afternoon,Other,Normal,Gravel roads,Daylight,Slight Injury
18-30,Above 10yr,Evening,Unknown,Normal,Asphalt roads,Darkness - no lighting,Slight Injury
18-30,Above 10yr,Evening,Other,Normal,Asphalt roads,Darkness - no lighting,Slight Injury
18-30,Above 10yr,Evening,Lorry,Normal,Asphalt roads,Darkness - no lighting,Slight Injury
31-50,Above 10yr,Afternoon,Lorry,Normal,Other,Daylight,Slight Injury
31-50,5-10yr,Evening,Lorry,Normal,Asphalt roads,Darkness - lights lit,Slight Injury
31-50,Below 1yr,Evening,Automobile,Normal,Other,Darkness - lights lit,Slight Injury
31-50,2-5yr,Afternoon,Lorry,Raining,Asphalt roads,Daylight,Slight Injury
31-50,Unknown,Afternoon,Automobile,Raining,Asphalt roads,Daylight,Slight Injury
31-50,1-2yr,Afternoon,Automobile,Raining,Asphalt roads,Daylight,Slight Injury
31-50,1-2yr,Afternoon,Pickup,Normal,Asphalt roads,Daylight,Slight Injury
31-50,1-2yr,Afternoon,Taxi,Normal,Asphalt roads,Daylight,Slight Injury
